Generation,Car ID,Speed,Angle,Distance,Alive
1,0,20,130,20,True
1,1,20,120,20,True
1,2,20,140,20,True
1,3,20,120,20,True
1,4,20,140,20,True
1,5,20,130,20,True
1,6,20,120,20,True
1,7,20,130,20,True
1,8,20,120,20,True
1,9,20,130,20,True
1,10,20,140,20,True
1,11,20,120,20,True
1,12,20,120,20,True
1,13,20,130,20,True
1,14,20,130,20,True
1,15,20,130,20,True
1,16,20,120,20,True
1,17,20,130,20,True
1,18,20,130,20,True
1,19,20,130,20,True
1,20,20,140,20,True
1,21,20,130,20,True
1,22,20,140,20,True
1,23,20,130,20,True
1,24,20,120,20,True
1,25,20,130,20,True
1,26,20,130,20,True
1,27,20,120,20,True
1,28,20,120,20,True
1,29,20,130,20,True
1,30,20,130,20,True
1,31,20,120,20,True
1,32,20,130,20,True
1,33,20,120,20,True
1,34,20,140,20,True
1,35,20,140,20,True
1,36,20,130,20,True
1,37,20,140,20,True
1,38,20,130,20,True
1,39,20,130,20,True
1,0,22,130,42,True
1,1,18,120,38,True
1,2,20,150,40,True
1,3,20,110,40,True
1,4,20,150,40,True
1,5,20,120,40,True
1,6,22,120,42,True
1,7,22,130,42,True
1,8,20,110,40,True
1,9,22,130,42,True
1,10,18,140,38,True
1,11,18,120,38,True
1,12,20,130,40,True
1,13,22,130,42,True
1,14,18,130,38,True
1,15,22,130,42,True
1,16,22,120,42,True
1,17,20,140,40,True
1,18,20,120,40,True
1,19,20,140,40,True
1,20,18,140,38,True
1,21,20,140,40,True
1,22,22,140,42,True
1,23,18,130,38,True
1,24,20,110,40,True
1,25,22,130,42,True
1,26,18,130,38,True
1,27,20,130,40,True
1,28,22,120,42,True
1,29,20,140,40,True
1,30,22,130,42,True
1,31,18,120,38,True
1,32,20,120,40,True
1,33,20,110,40,True
1,34,20,130,40,True
1,35,18,140,38,True
1,36,20,140,40,True
1,37,18,140,38,True
1,38,18,130,38,True
1,39,20,140,40,True
1,0,24,130,66,True
1,1,16,120,54,True
1,2,20,160,60,True
1,3,20,100,60,True
1,4,20,160,60,True
1,5,22,120,62,True
1,6,20,120,62,True
1,7,24,130,66,True
1,8,20,100,60,True
1,9,24,130,66,True
1,10,16,140,54,True
1,11,16,120,54,True
1,12,20,140,60,True
1,13,24,130,66,True
1,14,16,130,54,True
1,15,24,130,66,True
1,16,24,120,66,True
1,17,20,150,60,True
1,18,20,110,60,True
1,19,20,150,60,True
1,20,16,140,54,True
1,21,20,150,60,True
1,22,24,140,66,True
1,23,16,130,54,True
1,24,20,100,60,True
1,25,24,130,66,True
1,26,16,130,54,True
1,27,20,140,60,True
1,28,24,120,66,True
1,29,20,150,60,True
1,30,24,130,66,True
1,31,16,120,54,True
1,32,20,110,60,True
1,33,20,100,60,True
1,34,20,120,60,True
1,35,16,140,54,True
1,36,20,150,60,True
1,37,16,140,54,True
1,38,16,130,54,True
1,39,20,150,60,True
1,0,26,130,92,False
1,1,14,120,68,True
1,2,20,170,80,True
1,3,18,100,78,False
1,4,20,170,80,True
1,5,24,120,86,False
1,6,18,120,80,False
1,7,26,130,92,False
1,8,20,90,80,False
1,9,26,130,92,False
1,10,14,140,68,True
1,11,14,120,68,True
1,12,20,150,80,True
1,13,26,130,92,False
1,14,14,130,68,True
