Generation,Car ID,Speed,Angle,Distance,Alive
1,0,20,-10,20,True
1,1,20,-10,20,True
1,2,20,0,20,True
1,3,20,0,20,True
1,4,20,10,20,True
1,5,20,0,20,True
1,6,20,0,20,True
1,7,20,0,20,True
1,8,20,-10,20,True
1,9,20,0,20,True
1,10,20,-10,20,True
1,11,20,0,20,True
1,12,20,-10,20,True
1,13,20,0,20,True
1,14,20,-10,20,True
1,15,20,10,20,True
1,16,20,0,20,True
1,17,20,10,20,True
1,18,20,0,20,True
1,19,20,0,20,True
1,20,20,-10,20,True
1,21,20,10,20,True
1,22,20,0,20,True
1,23,20,0,20,True
1,24,20,0,20,True
1,25,20,0,20,True
1,26,20,0,20,True
1,27,20,10,20,True
1,28,20,0,20,True
1,29,20,0,20,True
1,30,20,0,20,True
1,31,20,-10,20,True
1,32,20,0,20,True
1,33,20,-10,20,True
1,34,20,0,20,True
1,35,20,10,20,True
1,36,20,0,20,True
1,37,20,-10,20,True
1,38,20,10,20,True
1,39,20,10,20,True
1,0,20,0,40,True
1,1,20,-20,40,False
1,2,20,-10,40,True
1,3,20,-10,40,True
1,4,22,10,42,True
1,5,22,0,42,True
1,6,18,0,38,True
1,7,18,0,38,True
1,8,20,0,40,True
1,9,20,-10,40,True
1,10,20,-20,40,False
1,11,20,10,40,True
1,12,20,0,40,True
1,13,18,0,38,True
1,14,20,-20,40,False
1,15,22,10,42,True
1,16,22,0,42,True
1,17,18,10,38,True
1,18,22,0,42,True
1,19,20,10,40,True
1,20,20,-20,40,False
1,21,18,10,38,True
1,22,18,0,38,True
1,23,22,0,42,True
1,24,20,10,40,True
1,25,20,10,40,True
1,26,18,0,38,True
1,27,20,0,40,True
1,28,20,-10,40,True
1,29,22,0,42,True
1,30,18,0,38,True
1,31,18,-10,38,True
1,32,22,0,42,True
1,33,20,-20,40,False
1,34,20,10,40,True
1,35,20,20,40,True
1,36,20,10,40,True
1,37,18,-10,38,True
1,38,20,20,40,True
1,39,18,10,38,True
1,0,20,10,60,True
1,2,20,-20,60,False
1,3,18,-10,58,False
1,4,24,10,66,True
1,5,24,0,66,True
1,6,16,0,54,True
1,7,16,0,54,True
1,8,20,10,60,True
1,9,20,-20,60,False
1,11,20,20,60,True
1,12,20,10,60,True
1,13,16,0,54,True
1,15,20,10,62,True
1,16,24,0,66,True
1,17,16,10,54,True
1,18,24,0,66,True
1,19,20,20,60,True
1,21,16,10,54,True
1,22,16,0,54,True
1,23,24,0,66,True
1,24,20,20,60,True
1,25,20,20,60,True
1,26,16,0,54,True
1,27,20,10,60,True
1,28,20,-20,60,False
1,29,24,0,66,True
1,30,16,0,54,True
1,31,16,-10,54,False
1,32,24,0,66,True
1,34,20,20,60,True
1,35,20,30,60,True
1,36,20,20,60,True
1,37,16,-10,54,False
1,38,20,30,60,True
1,39,20,10,58,True
1,0,20,20,80,True
1,4,26,10,92,True
1,5,26,0,92,False
1,6,14,0,68,True
1,7,14,0,68,True
1,8,20,20,80,True
1,11,20,30,80,True
1,12,20,20,80,True
1,13,14,0,68,True
1,15,18,10,80,True
1,16,26,0,92,False
1,17,14,10,68,True
1,18,22,0,88,False
1,19,20,30,80,True
1,21,14,10,68,True
1,22,14,0,68,True
1,23,26,0,92,False
1,24,20,30,80,True
1,25,20,30,80,True
1,26,14,0,68,True
1,27,20,20,80,True
1,29,26,0,92,False
1,30,14,0,68,True
1,32,26,0,92,False
1,34,20,30,80,True
1,35,20,40,80,True
1,36,20,30,80,True
1,38,20,40,80,True
1,39,22,10,80,True
1,0,20,30,100,True
1,4,28,10,120,True
1,6,12,0,80,True
1,7,16,0,84,False
1,8,20,30,100,True
1,11,20,40,100,True
1,12,20,30,100,True
1,13,12,0,80,True
1,15,16,10,96,True
1,17,12,10,80,True
1,19,20,40,100,True
1,21,12,10,80,True
1,22,12,0,80,True
1,24,20,40,100,True
1,25,20,40,100,True
1,26,12,0,80,True
1,27,20,30,100,True
1,30,12,0,80,True
1,34,20,40,100,True
1,35,20,50,100,True
1,36,20,40,100,True
1,38,20,50,100,True
1,39,24,10,104,True
1,0,20,40,120,True
1,4,26,10,146,False
1,6,12,0,92,False
1,8,20,40,120,True
1,11,20,50,120,True
1,12,20,40,120,True
1,13,12,0,92,False
1,15,18,10,114,True
1,17,12,10,92,True
1,19,20,50,120,True
1,21,12,10,92,True
1,22,12,0,92,False
1,24,20,50,120,True
1,25,20,50,120,True
1,26,12,0,92,False
1,27,20,40,120,True
1,30,12,0,92,False
1,34,20,50,120,True
1,35,20,60,120,True
1,36,20,50,120,True
1,38,20,60,120,True
1,39,26,10,130,True
1,0,20,50,140,True
1,8,20,50,140,True
1,11,20,60,140,True
1,12,20,50,140,True
1,15,20,10,134,True
1,17,12,10,104,True
1,19,22,50,142,True
1,21,12,10,104,True
1,24,20,60,140,True
1,25,20,60,140,True
1,27,20,50,140,True
1,34,20,60,140,True
1,35,20,70,140,True
1,36,20,60,140,True
1,38,20,70,140,True
1,39,28,10,158,False
1,0,20,60,160,True
1,8,20,60,160,True
1,11,22,60,162,True
1,12,20,60,160,True
1,15,22,10,156,False
1,17,12,10,116,True
1,19,22,60,164,True
1,21,12,20,116,True
1,24,20,70,160,True
1,25,20,70,160,True
1,27,20,60,160,True
1,34,20,70,160,True
1,35,20,80,160,True
1,36,20,70,160,True
1,38,20,80,160,True
1,0,20,70,180,True
