Generation,Car ID,Speed,Angle,Distance,Alive
1,0,20,10,20,True
1,1,20,10,20,True
1,2,20,0,20,True
1,3,20,10,20,True
1,4,20,0,20,True
1,5,20,0,20,True
1,6,20,0,20,True
1,7,20,10,20,True
1,8,20,0,20,True
1,9,20,0,20,True
1,10,20,-10,20,True
1,11,20,10,20,True
1,12,20,0,20,True
1,13,20,0,20,True
1,14,20,-10,20,True
1,15,20,0,20,True
1,16,20,-10,20,True
1,17,20,-10,20,True
1,18,20,0,20,True
1,19,20,0,20,True
1,20,20,0,20,True
1,21,20,-10,20,True
1,22,20,0,20,True
1,23,20,0,20,True
1,24,20,0,20,True
1,25,20,0,20,True
1,26,20,10,20,True
1,27,20,-10,20,True
1,28,20,0,20,True
1,29,20,0,20,True
1,30,20,-10,20,True
1,31,20,10,20,True
1,32,20,10,20,True
1,33,20,0,20,True
1,34,20,0,20,True
1,35,20,0,20,True
1,36,20,0,20,True
1,37,20,-10,20,True
1,38,20,0,20,True
1,39,20,-10,20,True
1,0,22,10,42,True
1,1,20,0,40,True
1,2,22,0,42,True
1,3,22,10,42,True
1,4,22,0,42,True
1,5,20,10,40,True
1,6,20,-10,40,True
1,7,20,0,40,True
1,8,22,0,42,True
1,9,22,0,42,True
1,10,18,-10,38,True
1,11,20,20,40,True
1,12,20,10,40,True
1,13,20,-10,40,True
1,14,18,-10,38,True
1,15,20,10,40,True
1,16,20,-20,40,False
1,17,22,-10,42,True
1,18,18,0,38,True
1,19,18,0,38,True
1,20,20,10,40,True
1,21,22,-10,42,True
1,22,18,0,38,True
1,23,18,0,38,True
1,24,20,10,40,True
1,25,20,10,40,True
1,26,20,0,40,True
1,27,18,-10,38,True
1,28,20,-10,40,True
1,29,20,10,40,True
1,30,18,-10,38,True
1,31,22,10,42,True
1,32,20,0,40,True
1,33,18,0,38,True
1,34,20,-10,40,True
1,35,22,0,42,True
1,36,20,-10,40,True
1,37,22,-10,42,True
1,38,22,0,42,True
1,39,20,0,40,True
1,0,24,10,66,True
1,1,20,-10,60,True
1,2,24,0,66,True
1,3,24,10,66,True
1,4,24,0,66,True
1,5,20,20,60,True
1,6,22,-10,62,True
1,7,20,-10,60,True
1,8,24,0,66,True
1,9,24,0,66,True
1,10,18,-20,56,False
1,11,20,10,60,True
1,12,20,20,60,True
1,13,22,-10,62,True
1,14,16,-10,54,True
1,15,20,20,60,True
1,17,24,-10,66,False
1,18,16,0,54,True
1,19,16,0,54,True
1,20,20,20,60,True
1,21,24,-10,66,False
1,22,16,0,54,True
1,23,16,0,54,True
1,24,20,20,60,True
1,25,20,20,60,True
1,26,20,-10,60,True
1,27,16,-10,54,True
1,28,20,-20,60,False
1,29,20,20,60,True
1,30,16,-10,54,True
1,31,24,10,66,True
1,32,20,-10,60,True
1,33,16,0,54,True
1,34,20,-20,60,False
1,35,24,0,66,True
1,36,20,-20,60,False
1,37,24,-10,66,False
1,38,24,0,66,True
1,39,20,10,60,True
1,0,26,10,92,True
1,1,20,-20,80,True
1,2,26,0,92,True
1,3,26,10,92,True
1,4,26,0,92,True
1,5,22,20,82,True
1,6,22,-20,84,False
1,7,20,-20,80,True
1,8,26,0,92,True
1,9,26,0,92,True
1,11,20,20,80,True
1,12,20,30,80,True
1,13,20,-10,82,False
1,14,14,-10,68,False
1,15,20,30,80,True
1,18,14,0,68,True
1,19,14,0,68,True
1,20,20,10,80,True
1,22,14,0,68,True
1,23,14,0,68,True
1,24,18,20,78,True
1,25,20,30,80,True
1,26,20,-20,80,True
1,27,14,-10,68,False
1,29,22,20,82,True
1,30,14,-10,68,False
1,31,26,10,92,True
1,32,20,-20,80,True
1,33,14,0,68,True
1,35,26,0,92,True
1,38,26,0,92,True
1,39,20,20,80,True
1,0,28,10,120,True
1,1,20,-10,100,False
1,2,28,0,120,True
1,3,28,10,120,True
1,4,28,0,120,True
1,5,24,20,106,True
1,7,20,-30,100,False
1,8,28,0,120,True
1,9,28,0,120,True
1,11,20,10,100,True
1,12,20,40,100,False
1,15,20,40,100,False
1,18,12,0,80,True
1,19,12,0,80,True
1,20,20,20,100,True
1,22,12,0,80,True
1,23,12,0,80,True
1,24,16,20,94,True
1,25,20,40,100,False
1,26,20,-30,100,False
1,29,24,20,106,True
1,31,28,10,120,True
1,32,20,-30,100,False
1,33,12,0,80,True
1,35,28,0,120,True
1,38,28,0,120,True
1,39,20,30,100,True
1,0,30,10,150,True
1,2,30,0,150,True
1,3,30,10,150,True
1,4,30,0,150,True
1,5,26,20,132,False
1,8,30,0,150,True
1,9,30,0,150,True
1,11,20,20,120,True
1,18,12,0,92,True
1,19,12,0,92,True
1,20,20,10,120,True
1,22,12,0,92,True
1,23,12,0,92,True
1,24,14,20,108,True
1,29,24,10,130,True
1,31,30,10,150,True
1,33,12,0,92,True
1,35,30,0,150,True
1,38,30,0,150,True
1,39,20,40,120,False
1,0,32,10,182,True
1,2,32,0,182,True
1,3,32,10,182,True
1,4,32,0,182,True
1,8,32,0,182,True
1,9,32,0,182,True
1,11,20,10,140,True
1,18,12,0,104,True
1,19,12,0,104,True
1,20,20,0,140,True
1,22,12,0,104,True
1,23,12,0,104,True
1,24,12,20,120,True
1,29,26,10,156,True
1,31,32,10,182,True
1,33,12,0,104,True
1,35,32,0,182,True
1,38,32,0,182,True
1,0,34,10,216,False
1,2,34,0,216,True
1,3,34,10,216,False
